index;Time;Latitude;Longitute;Height;Pm1.0;Pm2.5;Pm10;HCHO;Temperature;RH;aX;aY;aZ
;2021-11-18 15:14:04.320000;;;;;;;;;;9.423580000000001;2.90417;1.075
;2021-11-18 15:14:04.360000;;;;;;;;;;9.43316;2.89938;1.05824
;2021-11-18 15:14:04.400000;;;;;;;;;;9.430760000000001;2.90177;1.04627
;2021-11-18 15:14:04.440000;;;;;;;;;;9.42597;2.90896;1.04866
;2021-11-18 15:14:04.480000;;;;;;;;;;9.430760000000001;2.90656;1.05345
;2021-11-18 15:14:04.520000;;;;;;;;;;9.42837;2.91374;1.075
;2021-11-18 15:14:04.560000;;;;;;;;;;9.42597;2.90656;1.07021
;2021-11-18 15:14:04.600000;;;;;;;;;;9.42118;2.91853;1.04866
;2021-11-18 15:14:04.640000;;;;;;;;;;9.42118;2.92332;1.04866
;2021-11-18 15:14:04.680000;;;;;;;;;;9.41879;2.91853;1.06303
;2021-11-18 15:14:04.720000;;;;;;;;;;9.42118;2.91853;1.06781
;2021-11-18 15:14:04.760000;;;;;;;;;;9.42837;2.91374;1.05824
;2021-11-18 15:14:04.800000;;;;;;;;;;9.42597;2.90896;1.03669
;2021-11-18 15:14:04.840000;;;;;;;;;;9.430760000000001;2.91374;1.05105
;2021-11-18 15:14:04.880000;;;;;;;;;;9.42597;2.91853;1.07021
;2021-11-18 15:14:04.920000;;;;;;;;;;9.430760000000001;2.91374;1.07021
;2021-11-18 15:14:04.960000;;;;;;;;;;9.42837;2.90896;1.06542
True;2021-11-18 15:14:05;51.113239;17.062279999999998;132.8;4.0;8.0;8.0;0.0;23.6;33.2;18.842370000000003;5.8179099999999995;2.13563
;2021-11-18 15:14:05;;;;;;;;;;9.42597;2.90896;1.06303
;2021-11-18 15:14:05.040000;;;;;;;;;;9.41879;2.91374;1.07021
;2021-11-18 15:14:05.080000;;;;;;;;;;9.41879;2.91374;1.06063
;2021-11-18 15:14:05.120000;;;;;;;;;;9.41879;2.91853;1.06542
;2021-11-18 15:14:05.160000;;;;;;;;;;9.423580000000001;2.91135;1.06781
;2021-11-18 15:14:05.200000;;;;;;;;;;9.42118;2.90417;1.08218
;2021-11-18 15:14:05.240000;;;;;;;;;;9.41879;2.90896;1.0726
;2021-11-18 15:14:05.280000;;;;;;;;;;9.42597;2.92093;1.06303
;2021-11-18 15:14:05.320000;;;;;;;;;;9.42118;2.91614;1.06063
;2021-11-18 15:14:05.360000;;;;;;;;;;9.430760000000001;2.91374;1.05345
;2021-11-18 15:14:05.400000;;;;;;;;;;9.41879;2.91374;1.05345
;2021-11-18 15:14:05.440000;;;;;;;;;;9.42118;2.90177;1.07021
;2021-11-18 15:14:05.480000;;;;;;;;;;9.42118;2.90177;1.07978
;2021-11-18 15:14:05.520000;;;;;;;;;;9.41879;2.89938;1.06542
;2021-11-18 15:14:05.560000;;;;;;;;;;9.423580000000001;2.90896;1.0726
;2021-11-18 15:14:05.600000;;;;;;;;;;9.43555;2.90896;1.05824
;2021-11-18 15:14:05.640000;;;;;;;;;;9.43316;2.91135;1.06303
;2021-11-18 15:14:05.680000;;;;;;;;;;9.430760000000001;2.91135;1.05824
;2021-11-18 15:14:05.720000;;;;;;;;;;9.423580000000001;2.91614;1.05584
;2021-11-18 15:14:05.760000;;;;;;;;;;9.43555;2.91853;1.0726
;2021-11-18 15:14:05.800000;;;;;;;;;;9.42837;2.91374;1.0726
;2021-11-18 15:14:05.840000;;;;;;;;;;9.440339999999999;2.91374;1.05584
