level_0;index;Time;Latitude;Longitude;Height;Pm1.0;Pm2.5;Pm10;HCHO;Temperature;RH;aX;aY;aZ
26;True;2021-11-22 19:58:27;51.113002;17.062451;170.4;20.0;24.167419450204296;36.674933093937035;0.0;22.5;33.5;-0.02394;-0.15562;9.28471
27;;2021-11-22 19:58:27;;;;;;;;;;-0.014369999999999999;-0.16041;9.27753
28;;2021-11-22 19:58:27.040000;;;;;;;;;;-0.014369999999999999;-0.1652;9.28471
29;;2021-11-22 19:58:27.080000;;;;;;;;;;-0.014369999999999999;-0.1652;9.29669
30;;2021-11-22 19:58:27.120000;;;;;;;;;;-0.014369999999999999;-0.1652;9.29669
31;;2021-11-22 19:58:27.160000;;;;;;;;;;-0.01197;-0.1652;9.27993
32;;2021-11-22 19:58:27.200000;;;;;;;;;;-0.01915;-0.1652;9.272739999999999
33;;2021-11-22 19:58:27.240000;;;;;;;;;;-0.028730000000000002;-0.16041;9.2895
34;;2021-11-22 19:58:27.280000;;;;;;;;;;-0.035910000000000004;-0.15562;9.30147
35;;2021-11-22 19:58:27.320000;;;;;;;;;;-0.0407;-0.15802;9.29429
36;;2021-11-22 19:58:27.360000;;;;;;;;;;-0.03352;-0.15802;9.27753
37;;2021-11-22 19:58:27.400000;;;;;;;;;;-0.02634;-0.15562;9.29669
38;;2021-11-22 19:58:27.440000;;;;;;;;;;-0.02634;-0.15802;9.31344
39;;2021-11-22 19:58:27.480000;;;;;;;;;;-0.02155;-0.1652;9.29429
40;;2021-11-22 19:58:27.520000;;;;;;;;;;-0.028730000000000002;-0.15802;9.28711
41;;2021-11-22 19:58:27.560000;;;;;;;;;;-0.028730000000000002;-0.16041;9.30387
42;;2021-11-22 19:58:27.600000;;;;;;;;;;-0.03112;-0.16280999999999998;9.29908
43;;2021-11-22 19:58:27.640000;;;;;;;;;;-0.03112;-0.16759000000000002;9.27993
44;;2021-11-22 19:58:27.680000;;;;;;;;;;-0.02394;-0.15802;9.30387
45;;2021-11-22 19:58:27.720000;;;;;;;;;;-0.03352;-0.15802;9.28711
46;;2021-11-22 19:58:27.760000;;;;;;;;;;-0.028730000000000002;-0.15323;9.2895
47;;2021-11-22 19:58:27.800000;;;;;;;;;;-0.035910000000000004;-0.15802;9.29669
48;;2021-11-22 19:58:27.840000;;;;;;;;;;-0.03352;-0.15802;9.28471
49;;2021-11-22 19:58:27.880000;;;;;;;;;;-0.03352;-0.15323;9.27753
50;;2021-11-22 19:58:27.920000;;;;;;;;;;-0.028730000000000002;-0.16041;9.2895
51;;2021-11-22 19:58:27.960000;;;;;;;;;;-0.028730000000000002;-0.16280999999999998;9.29429
52;True;2021-11-22 19:58:29;51.113003000000006;17.062451;170.8;20.0;24.182251977856666;36.691945611632306;0.0;22.5;33.4;-0.038310000000000004;-0.1652;9.29429
53;;2021-11-22 19:58:29;;;;;;;;;;-0.03352;-0.16041;9.2895
54;;2021-11-22 19:58:29.040000;;;;;;;;;;-0.03112;-0.16041;9.27993
55;;2021-11-22 19:58:29.080000;;;;;;;;;;-0.028730000000000002;-0.15323;9.272739999999999
56;;2021-11-22 19:58:29.120000;;;;;;;;;;-0.02634;-0.1652;9.28232
57;;2021-11-22 19:58:29.160000;;;;;;;;;;-0.02155;-0.1652;9.2895
58;;2021-11-22 19:58:29.200000;;;;;;;;;;-0.02394;-0.1652;9.29669
59;;2021-11-22 19:58:29.240000;;;;;;;;;;-0.03352;-0.16041;9.29669
60;;2021-11-22 19:58:29.280000;;;;;;;;;;-0.035910000000000004;-0.16041;9.29429
61;;2021-11-22 19:58:29.320000;;;;;;;;;;-0.03112;-0.15802;9.29429
62;;2021-11-22 19:58:29.360000;;;;;;;;;;-0.03112;-0.15083;9.28711
63;;2021-11-22 19:58:29.400000;;;;;;;;;;-0.06704;-0.31125;18.56464
64;;2021-11-22 19:58:29.440000;;;;;;;;;;-0.028730000000000002;-0.15562;9.275139999999999
65;;2021-11-22 19:58:29.480000;;;;;;;;;;-0.028730000000000002;-0.16041;9.275139999999999
66;;2021-11-22 19:58:29.520000;;;;;;;;;;-0.028730000000000002;-0.15562;9.28232
67;;2021-11-22 19:58:29.560000;;;;;;;;;;-0.02634;-0.15802;9.28232
68;;2021-11-22 19:58:29.600000;;;;;;;;;;-0.02155;-0.16280999999999998;9.275139999999999
69;;2021-11-22 19:58:29.640000;;;;;;;;;;-0.01915;-0.15802;9.27993
70;;2021-11-22 19:58:29.680000;;;;;;;;;;-0.02394;-0.16041;9.27753
71;;2021-11-22 19:58:29.720000;;;;;;;;;;-0.01915;-0.15802;9.27753
72;;2021-11-22 19:58:29.760000;;;;;;;;;;-0.01915;-0.16041;9.275139999999999
73;;2021-11-22 19:58:29.800000;;;;;;;;;;-0.02394;-0.1652;9.27993
74;;2021-11-22 19:58:29.840000;;;;;;;;;;-0.02634;-0.1652;9.28711
75;;2021-11-22 19:58:29.880000;;;;;;;;;;-0.028730000000000002;-0.16280999999999998;9.28471
76;;2021-11-22 19:58:29.920000;;;;;;;;;;-0.03352;-0.16041;9.27993
77;;2021-11-22 19:58:29.960000;;;;;;;;;;-0.035910000000000004;-0.16041;9.27993
78;True;2021-11-22 19:58:30;51.113002;17.062451;171.2;20.0;24.182251977856666;36.691945611632306;0.0;22.6;33.4;-0.01197;-0.15802;9.28711
79;;2021-11-22 19:58:30;;;;;;;;;;-0.02155;-0.16041;9.2919
80;;2021-11-22 19:58:30.040000;;;;;;;;;;-0.02634;-0.16280999999999998;9.2895
81;;2021-11-22 19:58:30.080000;;;;;;;;;;-0.02155;-0.16280999999999998;9.29429
82;;2021-11-22 19:58:30.120000;;;;;;;;;;-0.02155;-0.1652;9.29908
83;;2021-11-22 19:58:30.160000;;;;;;;;;;-0.02634;-0.16280999999999998;9.30147
84;;2021-11-22 19:58:30.200000;;;;;;;;;;-0.028730000000000002;-0.16041;9.30147
85;;2021-11-22 19:58:30.240000;;;;;;;;;;-0.02394;-0.15562;9.30147
86;;2021-11-22 19:58:30.280000;;;;;;;;;;-0.02155;-0.15323;9.29908
87;;2021-11-22 19:58:30.320000;;;;;;;;;;-0.014369999999999999;-0.15323;9.29669
88;;2021-11-22 19:58:30.360000;;;;;;;;;;-0.02155;-0.15323;9.29429
89;;2021-11-22 19:58:30.400000;;;;;;;;;;-0.02634;-0.15562;9.30147
90;;2021-11-22 19:58:30.440000;;;;;;;;;;-0.028730000000000002;-0.15802;9.30387
91;;2021-11-22 19:58:30.480000;;;;;;;;;;-0.02394;-0.16041;9.2895
92;;2021-11-22 19:58:30.520000;;;;;;;;;;-0.02634;-0.15562;9.28471
93;;2021-11-22 19:58:30.560000;;;;;;;;;;-0.02155;-0.15802;9.28711
94;;2021-11-22 19:58:30.600000;;;;;;;;;;-0.014369999999999999;-0.16041;9.2919
95;;2021-11-22 19:58:30.640000;;;;;;;;;;-0.01915;-0.16041;9.2895
96;;2021-11-22 19:58:30.680000;;;;;;;;;;-0.01915;-0.15802;9.29669
97;;2021-11-22 19:58:30.720000;;;;;;;;;;-0.01915;-0.15562;9.2895
98;;2021-11-22 19:58:30.760000;;;;;;;;;;-0.02155;-0.16041;9.28471
99;;2021-11-22 19:58:30.800000;;;;;;;;;;-0.028730000000000002;-0.1652;9.2919
100;;2021-11-22 19:58:30.840000;;;;;;;;;;-0.035910000000000004;-0.16999;9.29908
101;;2021-11-22 19:58:30.880000;;;;;;;;;;-0.03112;-0.16759000000000002;9.29908
102;;2021-11-22 19:58:30.920000;;;;;;;;;;-0.028730000000000002;-0.1652;9.2895
103;;2021-11-22 19:58:30.960000;;;;;;;;;;-0.02394;-0.15802;9.2895
104;True;2021-11-22 19:58:31;51.113002;17.062451;171.3;20.0;25.09324741898324;38.068451172047645;0.0;22.6;33.3;-0.035910000000000004;-0.1652;9.2919
105;;2021-11-22 19:58:31;;;;;;;;;;-0.028730000000000002;-0.16280999999999998;9.28711
106;;2021-11-22 19:58:31.040000;;;;;;;;;;-0.02394;-0.1652;9.28711
107;;2021-11-22 19:58:31.080000;;;;;;;;;;-0.02394;-0.1652;9.30147
108;;2021-11-22 19:58:31.120000;;;;;;;;;;-0.01915;-0.16280999999999998;9.29429
109;;2021-11-22 19:58:31.160000;;;;;;;;;;-0.014369999999999999;-0.16280999999999998;9.28232
110;;2021-11-22 19:58:31.200000;;;;;;;;;;-0.01676;-0.16041;9.28232
111;;2021-11-22 19:58:31.240000;;;;;;;;;;-0.02155;-0.15323;9.2895
112;;2021-11-22 19:58:31.280000;;;;;;;;;;-0.028730000000000002;-0.15562;9.28471
113;;2021-11-22 19:58:31.320000;;;;;;;;;;-0.03112;-0.15802;9.28471
114;;2021-11-22 19:58:31.360000;;;;;;;;;;-0.02155;-0.15802;9.30866
115;;2021-11-22 19:58:31.400000;;;;;;;;;;-0.02394;-0.15562;9.29908
116;;2021-11-22 19:58:31.440000;;;;;;;;;;-0.02394;-0.15562;9.29908
117;;2021-11-22 19:58:31.480000;;;;;;;;;;-0.028730000000000002;-0.15323;9.30147
118;;2021-11-22 19:58:31.520000;;;;;;;;;;-0.028730000000000002;-0.15323;9.29669
119;;2021-11-22 19:58:31.560000;;;;;;;;;;-0.02634;-0.15562;9.28711
120;;2021-11-22 19:58:31.600000;;;;;;;;;;-0.01915;-0.15323;9.29669
121;;2021-11-22 19:58:31.640000;;;;;;;;;;-0.02155;-0.15562;9.28711
122;;2021-11-22 19:58:31.680000;;;;;;;;;;-0.02155;-0.15562;9.2919
123;;2021-11-22 19:58:31.720000;;;;;;;;;;-0.02634;-0.16280999999999998;9.2919
124;;2021-11-22 19:58:31.760000;;;;;;;;;;-0.02634;-0.1652;9.2895
125;;2021-11-22 19:58:31.800000;;;;;;;;;;-0.02634;-0.16759000000000002;9.2919
126;;2021-11-22 19:58:31.840000;;;;;;;;;;-0.02394;-0.1652;9.2895
127;;2021-11-22 19:58:31.880000;;;;;;;;;;-0.02155;-0.1652;9.29429
128;;2021-11-22 19:58:31.920000;;;;;;;;;;-0.01915;-0.1652;9.29908
129;;2021-11-22 19:58:31.960000;;;;;;;;;;-0.01915;-0.16280999999999998;9.29429
130;True;2021-11-22 19:58:33;51.113011;17.062443;169.9;20.0;25.09324741898324;38.068451172047645;0.0;22.6;33.3;-0.02394;-0.15083;9.28232
131;;2021-11-22 19:58:33;;;;;;;;;;-0.02634;-0.14844000000000002;9.27993
132;;2021-11-22 19:58:33.040000;;;;;;;;;;-0.02634;-0.14605;9.27753
133;;2021-11-22 19:58:33.080000;;;;;;;;;;-0.01915;-0.15802;9.28471
134;;2021-11-22 19:58:33.120000;;;;;;;;;;-0.01676;-0.15562;9.28232
135;;2021-11-22 19:58:33.160000;;;;;;;;;;-0.01197;-0.15562;9.27035
136;;2021-11-22 19:58:33.200000;;;;;;;;;;-0.01915;-0.15562;9.28232
137;;2021-11-22 19:58:33.240000;;;;;;;;;;-0.02634;-0.15323;9.27993
138;;2021-11-22 19:58:33.280000;;;;;;;;;;-0.028730000000000002;-0.15562;9.27753
139;;2021-11-22 19:58:33.320000;;;;;;;;;;-0.035910000000000004;-0.16280999999999998;9.27753
140;;2021-11-22 19:58:33.360000;;;;;;;;;;-0.038310000000000004;-0.16041;9.2919
141;;2021-11-22 19:58:33.400000;;;;;;;;;;-0.03112;-0.15562;9.27753
142;;2021-11-22 19:58:33.440000;;;;;;;;;;-0.03112;-0.15562;9.27993
143;;2021-11-22 19:58:33.480000;;;;;;;;;;-0.028730000000000002;-0.16041;9.2895
144;;2021-11-22 19:58:33.520000;;;;;;;;;;-0.02634;-0.16041;9.28232
145;;2021-11-22 19:58:33.560000;;;;;;;;;;-0.035910000000000004;-0.16041;9.28471
146;;2021-11-22 19:58:33.600000;;;;;;;;;;-0.03352;-0.16041;9.28711
147;;2021-11-22 19:58:33.640000;;;;;;;;;;-0.02394;-0.16041;9.28711
148;;2021-11-22 19:58:33.680000;;;;;;;;;;-0.02634;-0.16041;9.28711
149;;2021-11-22 19:58:33.720000;;;;;;;;;;-0.02634;-0.15802;9.27753
150;;2021-11-22 19:58:33.760000;;;;;;;;;;-0.02155;-0.15562;9.28471
151;;2021-11-22 19:58:33.800000;;;;;;;;;;-0.02394;-0.15083;9.28471
152;;2021-11-22 19:58:33.840000;;;;;;;;;;-0.02394;-0.15323;9.28711
153;;2021-11-22 19:58:33.880000;;;;;;;;;;-0.028730000000000002;-0.15323;9.2895
154;;2021-11-22 19:58:33.920000;;;;;;;;;;-0.02155;-0.15562;9.29429
155;;2021-11-22 19:58:33.960000;;;;;;;;;;-0.02634;-0.15323;9.28471
156;True;2021-11-22 19:58:34;51.11302;17.062435;168.5;20.0;25.10857836322746;38.08589789162835;0.0;22.6;33.2;-0.02634;-0.15323;9.272739999999999
157;;2021-11-22 19:58:34;;;;;;;;;;-0.01915;-0.15083;9.27753
158;;2021-11-22 19:58:34.040000;;;;;;;;;;-0.02394;-0.15323;9.2919
159;;2021-11-22 19:58:34.080000;;;;;;;;;;-0.01915;-0.15562;9.29669
160;;2021-11-22 19:58:34.120000;;;;;;;;;;-0.02394;-0.16041;9.2895
161;;2021-11-22 19:58:34.160000;;;;;;;;;;-0.028730000000000002;-0.15802;9.28711
162;;2021-11-22 19:58:34.200000;;;;;;;;;;-0.02155;-0.15323;9.28232
163;;2021-11-22 19:58:34.240000;;;;;;;;;;-0.02155;-0.16041;9.28232
164;;2021-11-22 19:58:34.280000;;;;;;;;;;-0.028730000000000002;-0.15802;9.28232
165;;2021-11-22 19:58:34.320000;;;;;;;;;;-0.03352;-0.15323;9.27993
166;;2021-11-22 19:58:34.360000;;;;;;;;;;-0.03352;-0.14844000000000002;9.28471
167;;2021-11-22 19:58:34.400000;;;;;;;;;;-0.03112;-0.14365;9.2895
168;;2021-11-22 19:58:34.440000;;;;;;;;;;-0.02394;-0.13885999999999998;9.27993
169;;2021-11-22 19:58:34.480000;;;;;;;;;;-0.03112;-0.13885999999999998;9.27993
170;;2021-11-22 19:58:34.520000;;;;;;;;;;-0.03352;-0.14365;9.27035
171;;2021-11-22 19:58:34.560000;;;;;;;;;;-0.03112;-0.14126;9.28232
172;;2021-11-22 19:58:34.600000;;;;;;;;;;-0.035910000000000004;-0.14844000000000002;9.2895
173;;2021-11-22 19:58:34.640000;;;;;;;;;;-0.03352;-0.15083;9.28711
174;;2021-11-22 19:58:34.680000;;;;;;;;;;-0.035910000000000004;-0.15323;9.29669
175;;2021-11-22 19:58:34.720000;;;;;;;;;;-0.038310000000000004;-0.14844000000000002;9.28711
176;;2021-11-22 19:58:34.760000;;;;;;;;;;-0.028730000000000002;-0.15562;9.28471
177;;2021-11-22 19:58:34.800000;;;;;;;;;;-0.02634;-0.15562;9.27753
178;;2021-11-22 19:58:34.840000;;;;;;;;;;-0.02394;-0.15323;9.27993
179;;2021-11-22 19:58:34.880000;;;;;;;;;;-0.02394;-0.15562;9.28232
180;;2021-11-22 19:58:34.920000;;;;;;;;;;-0.028730000000000002;-0.15323;9.27993
181;;2021-11-22 19:58:34.960000;;;;;;;;;;-0.03112;-0.15562;9.27993
182;True;2021-11-22 19:58:35;51.113027;17.06243;167.4;21.0;25.10857836322746;40.8063191696018;0.0;22.6;33.2;-0.028730000000000002;-0.15083;9.2919
183;;2021-11-22 19:58:35;;;;;;;;;;-0.02394;-0.1652;9.28471
184;;2021-11-22 19:58:35.040000;;;;;;;;;;-0.01915;-0.16280999999999998;9.29429
185;;2021-11-22 19:58:35.080000;;;;;;;;;;-0.02155;-0.16041;9.30147
186;;2021-11-22 19:58:35.120000;;;;;;;;;;-0.01915;-0.16280999999999998;9.29669
187;;2021-11-22 19:58:35.160000;;;;;;;;;;-0.02155;-0.16280999999999998;9.2895
188;;2021-11-22 19:58:35.200000;;;;;;;;;;-0.02394;-0.15802;9.28711
189;;2021-11-22 19:58:35.240000;;;;;;;;;;-0.03112;-0.15802;9.27993
190;;2021-11-22 19:58:35.280000;;;;;;;;;;-0.035910000000000004;-0.15323;9.27993
191;;2021-11-22 19:58:35.320000;;;;;;;;;;-0.03112;-0.15323;9.27993
192;;2021-11-22 19:58:35.360000;;;;;;;;;;-0.038310000000000004;-0.15083;9.27993
193;;2021-11-22 19:58:35.400000;;;;;;;;;;-0.03352;-0.15083;9.2919
194;;2021-11-22 19:58:35.440000;;;;;;;;;;-0.038310000000000004;-0.15562;9.2919
195;;2021-11-22 19:58:35.480000;;;;;;;;;;-0.03112;-0.15802;9.28711
196;;2021-11-22 19:58:35.520000;;;;;;;;;;-0.03112;-0.15323;9.28232
197;;2021-11-22 19:58:35.560000;;;;;;;;;;-0.03112;-0.16041;9.275139999999999
198;;2021-11-22 19:58:35.600000;;;;;;;;;;-0.03352;-0.16041;9.27753
199;;2021-11-22 19:58:35.640000;;;;;;;;;;-0.03352;-0.15802;9.28471
200;;2021-11-22 19:58:35.680000;;;;;;;;;;-0.028730000000000002;-0.15802;9.28711
201;;2021-11-22 19:58:35.720000;;;;;;;;;;-0.028730000000000002;-0.15562;9.2895
202;;2021-11-22 19:58:35.760000;;;;;;;;;;-0.03352;-0.15802;9.2919
203;;2021-11-22 19:58:35.800000;;;;;;;;;;-0.028730000000000002;-0.16280999999999998;9.2919
204;;2021-11-22 19:58:35.840000;;;;;;;;;;-0.028730000000000002;-0.15802;9.2895
205;;2021-11-22 19:58:35.880000;;;;;;;;;;-0.028730000000000002;-0.15802;9.28711
206;;2021-11-22 19:58:35.920000;;;;;;;;;;-0.038310000000000004;-0.15083;9.28711
207;;2021-11-22 19:58:35.960000;;;;;;;;;;-0.0431;-0.14844000000000002;9.28232
208;True;2021-11-22 19:58:36;51.113034000000006;17.062425;166.4;21.0;26.021165198005235;42.18573755989699;0.0;22.6;33.1;-0.02394;-0.15562;9.28471
209;;2021-11-22 19:58:36;;;;;;;;;;-0.02634;-0.15323;9.28711
210;;2021-11-22 19:58:36.040000;;;;;;;;;;-0.02155;-0.15323;9.275139999999999
211;;2021-11-22 19:58:36.080000;;;;;;;;;;-0.01915;-0.15323;9.28711
212;;2021-11-22 19:58:36.120000;;;;;;;;;;-0.02634;-0.14844000000000002;9.29429
213;;2021-11-22 19:58:36.160000;;;;;;;;;;-0.02634;-0.14605;9.2919
214;;2021-11-22 19:58:36.200000;;;;;;;;;;-0.02634;-0.15083;9.30387
215;;2021-11-22 19:58:36.240000;;;;;;;;;;-0.03352;-0.15083;9.29908
216;;2021-11-22 19:58:36.280000;;;;;;;;;;-0.03112;-0.14844000000000002;9.29669
217;;2021-11-22 19:58:36.320000;;;;;;;;;;-0.035910000000000004;-0.15323;9.29669
218;;2021-11-22 19:58:36.360000;;;;;;;;;;-0.03112;-0.16041;9.29669
219;;2021-11-22 19:58:36.400000;;;;;;;;;;-0.01915;-0.16041;9.28232
220;;2021-11-22 19:58:36.440000;;;;;;;;;;-0.01915;-0.15323;9.275139999999999
221;;2021-11-22 19:58:36.480000;;;;;;;;;;-0.02155;-0.15323;9.28232
222;;2021-11-22 19:58:36.520000;;;;;;;;;;-0.01915;-0.15323;9.28471
223;;2021-11-22 19:58:36.560000;;;;;;;;;;-0.01676;-0.15323;9.28471
224;;2021-11-22 19:58:36.600000;;;;;;;;;;-0.00958;-0.15083;9.2919
225;;2021-11-22 19:58:36.640000;;;;;;;;;;-0.01197;-0.15323;9.28471
226;;2021-11-22 19:58:36.680000;;;;;;;;;;-0.00958;-0.15562;9.28471
227;;2021-11-22 19:58:36.720000;;;;;;;;;;-0.01915;-0.15562;9.2895
228;;2021-11-22 19:58:36.760000;;;;;;;;;;-0.01915;-0.16041;9.27035
229;;2021-11-22 19:58:36.800000;;;;;;;;;;-0.01915;-0.15562;9.27753
230;;2021-11-22 19:58:36.840000;;;;;;;;;;-0.01915;-0.15802;9.28471
231;;2021-11-22 19:58:36.880000;;;;;;;;;;-0.02634;-0.15802;9.28711
232;;2021-11-22 19:58:36.920000;;;;;;;;;;-0.02634;-0.16041;9.29429
233;;2021-11-22 19:58:36.960000;;;;;;;;;;-0.03352;-0.15562;9.29669
234;True;2021-11-22 19:58:37;51.113040000000005;17.062419000000002;165.4;21.0;26.021165198005235;42.18573755989699;0.0;22.6;33.1;-0.028730000000000002;-0.16280999999999998;9.28711
235;;2021-11-22 19:58:37;;;;;;;;;;-0.02155;-0.15802;9.29669
236;;2021-11-22 19:58:37.040000;;;;;;;;;;-0.01676;-0.15802;9.28711
237;;2021-11-22 19:58:37.080000;;;;;;;;;;-0.02155;-0.15802;9.29669
238;;2021-11-22 19:58:37.120000;;;;;;;;;;-0.01676;-0.15562;9.2919
239;;2021-11-22 19:58:37.160000;;;;;;;;;;-0.01197;-0.16041;9.2919
240;;2021-11-22 19:58:37.200000;;;;;;;;;;-0.00958;-0.15802;9.29429
241;;2021-11-22 19:58:37.240000;;;;;;;;;;-0.01915;-0.15323;9.29669
242;;2021-11-22 19:58:37.280000;;;;;;;;;;-0.02394;-0.15083;9.28711
243;;2021-11-22 19:58:37.320000;;;;;;;;;;-0.02394;-0.15562;9.28711
244;;2021-11-22 19:58:37.360000;;;;;;;;;;-0.03352;-0.15562;9.28232
245;;2021-11-22 19:58:37.400000;;;;;;;;;;-0.03112;-0.15562;9.28232
246;;2021-11-22 19:58:37.440000;;;;;;;;;;-0.02394;-0.15802;9.2919
247;;2021-11-22 19:58:37.480000;;;;;;;;;;-0.01676;-0.15802;9.30387
248;;2021-11-22 19:58:37.520000;;;;;;;;;;-0.01197;-0.15323;9.30387
249;;2021-11-22 19:58:37.560000;;;;;;;;;;-0.014369999999999999;-0.15323;9.29908
250;;2021-11-22 19:58:37.600000;;;;;;;;;;-0.01915;-0.15323;9.29429
251;;2021-11-22 19:58:37.640000;;;;;;;;;;-0.035910000000000004;-0.16041;9.31344
252;;2021-11-22 19:58:37.680000;;;;;;;;;;-0.03352;-0.15562;9.30147
253;;2021-11-22 19:58:37.720000;;;;;;;;;;-0.028730000000000002;-0.15802;9.2919
254;;2021-11-22 19:58:37.760000;;;;;;;;;;-0.02634;-0.16280999999999998;9.2919
255;;2021-11-22 19:58:37.800000;;;;;;;;;;-0.02155;-0.15802;9.29669
256;;2021-11-22 19:58:37.840000;;;;;;;;;;-0.02634;-0.16041;9.30147
257;;2021-11-22 19:58:37.880000;;;;;;;;;;-0.02634;-0.15562;9.29669
258;;2021-11-22 19:58:37.920000;;;;;;;;;;-0.03112;-0.15323;9.2919
259;;2021-11-22 19:58:37.960000;;;;;;;;;;-0.028730000000000002;-0.15323;9.28471
260;True;2021-11-22 19:58:39;51.113046999999995;17.062413;164.7;21.0;26.0369903683822;42.20483717535168;0.0;22.6;33.0;-0.02634;-0.16041;9.28711
261;;2021-11-22 19:58:39;;;;;;;;;;-0.035910000000000004;-0.16759000000000002;9.29908
262;;2021-11-22 19:58:39.040000;;;;;;;;;;-0.03112;-0.1652;9.30147
263;;2021-11-22 19:58:39.080000;;;;;;;;;;-0.03352;-0.16280999999999998;9.30387
264;;2021-11-22 19:58:39.120000;;;;;;;;;;-0.038310000000000004;-0.1652;9.2919
265;;2021-11-22 19:58:39.160000;;;;;;;;;;-0.038310000000000004;-0.16041;9.27993
266;;2021-11-22 19:58:39.200000;;;;;;;;;;-0.03112;-0.16041;9.275139999999999
267;;2021-11-22 19:58:39.240000;;;;;;;;;;-0.03112;-0.15802;9.275139999999999
268;;2021-11-22 19:58:39.280000;;;;;;;;;;-0.035910000000000004;-0.1652;9.27753
269;;2021-11-22 19:58:39.320000;;;;;;;;;;-0.02634;-0.16041;9.275139999999999
270;;2021-11-22 19:58:39.360000;;;;;;;;;;-0.028730000000000002;-0.16280999999999998;9.2895
271;;2021-11-22 19:58:39.400000;;;;;;;;;;-0.028730000000000002;-0.16280999999999998;9.28232
272;;2021-11-22 19:58:39.440000;;;;;;;;;;-0.03112;-0.16041;9.27753
273;;2021-11-22 19:58:39.480000;;;;;;;;;;-0.03352;-0.15802;9.29669
274;;2021-11-22 19:58:39.520000;;;;;;;;;;-0.03112;-0.15562;9.272739999999999
275;;2021-11-22 19:58:39.560000;;;;;;;;;;-0.028730000000000002;-0.15323;9.26556
276;;2021-11-22 19:58:39.600000;;;;;;;;;;-0.028730000000000002;-0.15562;9.27035
277;;2021-11-22 19:58:39.640000;;;;;;;;;;-0.028730000000000002;-0.15802;9.275139999999999
278;;2021-11-22 19:58:39.680000;;;;;;;;;;-0.01915;-0.16041;9.27035
279;;2021-11-22 19:58:39.720000;;;;;;;;;;-0.02634;-0.15802;9.272739999999999
280;;2021-11-22 19:58:39.760000;;;;;;;;;;-0.02394;-0.14605;9.28232
281;;2021-11-22 19:58:39.800000;;;;;;;;;;-0.01915;-0.15083;9.28232
282;;2021-11-22 19:58:39.840000;;;;;;;;;;-0.02394;-0.15083;9.28471
283;;2021-11-22 19:58:39.880000;;;;;;;;;;-0.028730000000000002;-0.15323;9.26795
284;;2021-11-22 19:58:39.920000;;;;;;;;;;-0.03112;-0.15562;9.26317
285;;2021-11-22 19:58:39.960000;;;;;;;;;;-0.03352;-0.15083;9.27035
286;True;2021-11-22 19:58:40;51.113052;17.06241;163.4;21.0;25.139163114300054;40.84339081485646;0.0;22.6;33.0;-0.03352;-0.16041;9.30626
